ICD10,PHECODE,Excl. Phecodes,Excl. Phenotypes
G63.2,250.6,249-250.99,DIABETES
E13.4,250.24,249-250.99,DIABETES
E13.7,250.2,249-250.99,DIABETES
E10-E14.9,250,249-250.99,DIABETES
E12.3,250.23,249-250.99,DIABETES
E11.9,250.2,249-250.99,DIABETES
J45.8,495,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
E10,250.1,249-250.99,DIABETES
I67.4,401.3,401-405.99,HYPERTENSIVE DISEASE
E11.5,250,249-250.99,DIABETES
R73.9,250.42,249-250.99,DIABETES
E78.3,272.14,272-272.99,Disorders of lipoid metabolism
E14.4,250,249-250.99,DIABETES
E78.4,272.1,272-272.99,Disorders of lipoid metabolism
E10.0,250.1,249-250.99,DIABETES
E13.9,250.2,249-250.99,DIABETES
E10.9,250.1,249-250.99,DIABETES
E13.8,250.2,249-250.99,DIABETES
E78.9,272.9,272-272.99,Disorders of lipoid metabolism
E14.6,250,249-250.99,DIABETES
E14.8,250,249-250.99,DIABETES
E11,250.2,249-250.99,DIABETES
R82.4,250.5,249-250.99,DIABETES
E11.4,250.24,249-250.99,DIABETES
E14,250,249-250.99,DIABETES
E78.0,272.11,272-272.99,Disorders of lipoid metabolism
I13.2,401.2,401-405.99,HYPERTENSIVE DISEASE
J46,495.2,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
E14.5,250,249-250.99,DIABETES
E11.8,250.2,249-250.99,DIABETES
R73.0,250.41,249-250.99,DIABETES
E10.1,250.11,249-250.99,DIABETES
I13.1,401.2,401-405.99,HYPERTENSIVE DISEASE
E14.3,250,249-250.99,DIABETES
E10.6,250.1,249-250.99,DIABETES
E10.4,250.24,249-250.99,DIABETES
E10.4,250.14,249-250.99,DIABETES
E10.2,250.12,249-250.99,DIABETES
E78.5,272.1,272-272.99,Disorders of lipoid metabolism
I15.9,401.3,401-405.99,HYPERTENSIVE DISEASE
E11.0,250.2,249-250.99,DIABETES
E11.2,250.22,249-250.99,DIABETES
E13.5,250.2,249-250.99,DIABETES
E13,250.2,249-250.99,DIABETES
E78.2,272.13,272-272.99,Disorders of lipoid metabolism
J45,495,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
E10.8,250.1,249-250.99,DIABETES
E14.1,250,249-250.99,DIABETES
I11.9,401.21,401-405.99,HYPERTENSIVE DISEASE
I15.0,401.3,401-405.99,HYPERTENSIVE DISEASE
I10-I15.9,401,401-405.99,HYPERTENSIVE DISEASE
I10-I15.9,401.1,401-405.99,HYPERTENSIVE DISEASE
E10.3,250.23,249-250.99,DIABETES
E10.3,250.7,"250.70-250.79,360-365.99", diabetic retinopathy and degenerative disorders of the eye
E10.3,250.13,249-250.99,DIABETES
I13,401.2,401-405.99,HYPERTENSIVE DISEASE
I12.9,401.22,401-405.99,HYPERTENSIVE DISEASE
I15.2,401.3,401-405.99,HYPERTENSIVE DISEASE
I10,401.1,401-405.99,HYPERTENSIVE DISEASE
I11.0,401.21,401-405.99,HYPERTENSIVE DISEASE
E13.6,250.2,249-250.99,DIABETES
E13.3,250.7,"250.70-250.79,360-365.99", diabetic retinopathy and degenerative disorders of the eye
E14.9,250,249-250.99,DIABETES
E14.9,250.2,249-250.99,DIABETES
E11.3,250.23,249-250.99,DIABETES
E11.7,250.2,249-250.99,DIABETES
G59.0,250.24,249-250.99,DIABETES
E14.7,250,249-250.99,DIABETES
I13.0,401.2,401-405.99,HYPERTENSIVE DISEASE
E10.7,250.1,249-250.99,DIABETES
I15,401.3,401-405.99,HYPERTENSIVE DISEASE
Z96.4,250.3,249-250.99,DIABETES
J45.1,495,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
J45.0,495,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
I12.0,401.22,401-405.99,HYPERTENSIVE DISEASE
E14.0,250,249-250.99,DIABETES
H36.0,250.7,"250.70-250.79,360-365.99", diabetic retinopathy and degenerative disorders of the eye
E14.2,250,249-250.99,DIABETES
E11.1,250.21,249-250.99,DIABETES
I12,401.22,401-405.99,HYPERTENSIVE DISEASE
E13.1,250,249-250.99,DIABETES
E13.1,250.21,249-250.99,DIABETES
I15.1,401.3,401-405.99,HYPERTENSIVE DISEASE
R81,250.5,249-250.99,DIABETES
E11.6,250.2,249-250.99,DIABETES
E10.5,250,249-250.99,DIABETES
I15.8,401.3,401-405.99,HYPERTENSIVE DISEASE
I13.9,401.2,401-405.99,HYPERTENSIVE DISEASE
I11,401.21,401-405.99,HYPERTENSIVE DISEASE
E78.1,272.12,272-272.99,Disorders of lipoid metabolism
J45.9,495,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
