pgs_id,name,trait_id,trait_label,trait_reported,variants_number,method_name,publication_id,pubmed_id,ftp_scoring_file,scoring_file
PGS001132,GBE_FH1113,EFO_0000493,family history,Family history of chronic bronchitis/emphysema,1530,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001132/ScoringFiles/PGS001132.txt.gz,data/pgs/scoring_files/PGS001132.txt.gz
PGS012550,PRS13_IPF,EFO_0000768,idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,13,Genome-wide significant SNPs,PGP000793,38154569,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS012550/ScoringFiles/PGS012550.txt.gz,data/pgs/scoring_files/PGS012550.txt.gz
PGS001252,GBE_BIN_FC3002247,EFO_0001063|MONDO_0005365,deafness|hearing loss disorder,Hearing difficulty and deafness,3731,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001252/ScoringFiles/PGS001252.txt.gz,data/pgs/scoring_files/PGS001252.txt.gz
PGS005261,benign_nodular_goiter_mixed_pt,EFO_0002751|MONDO_0006869,benign|nodular goiter,Benign nodular goiter,110,Pruning and Thresholding (P+T),PGP000748,,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS005261/ScoringFiles/PGS005261.txt.gz,data/pgs/scoring_files/PGS005261.txt.gz
PGS019547,TPMI_613.7_Lassosum2,EFO_0003765,sign or symptom,Other signs and symptoms in breast,2,Lassosum2,PGP000835,41094136,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS019547/ScoringFiles/PGS019547.txt.gz,data/pgs/scoring_files/PGS019547.txt.gz
PGS001264,GBE_HC166,EFO_0003907,deep vein thrombosis,Deep vein thrombosis,839,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001264/ScoringFiles/PGS001264.txt.gz,data/pgs/scoring_files/PGS001264.txt.gz
PGS000931,GBE_BIN_FC11006152,EFO_0003907|MONDO_0000831,deep vein thrombosis|thrombotic disease,Blood clot or deep vein thrombosis (diagnosed by doctor),534,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000931/ScoringFiles/PGS000931.txt.gz,data/pgs/scoring_files/PGS000931.txt.gz
PGS001279,GBE_BIN_FC8006152,EFO_0003907|MONDO_0005279,deep vein thrombosis|pulmonary embolism,previously: Blood clot in the lung,94,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001279/ScoringFiles/PGS001279.txt.gz,data/pgs/scoring_files/PGS001279.txt.gz
PGS001262,GBE_BIN_FC2006150,EFO_0003913,angina pectoris,Vascular/heart problems diagnosed by doctor Angina,1852,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001262/ScoringFiles/PGS001262.txt.gz,data/pgs/scoring_files/PGS001262.txt.gz
PGS019747,TPMI_783_Lassosum2,EFO_0003952,fever of unknown origin,Fever of unknown origin,44,Lassosum2,PGP000835,41094136,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS019747/ScoringFiles/PGS019747.txt.gz,data/pgs/scoring_files/PGS019747.txt.gz
PGS002266,PRS_29,EFO_0003959|HP_0000175,cleft lip|Cleft palate,Nonsyndromic cleft lip with or without cleft palate,29,Genome-wide significant variants,PGP000295,35147171,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002266/ScoringFiles/PGS002266.txt.gz,data/pgs/scoring_files/PGS002266.txt.gz
PGS019801,TPMI_LDL-C_Lassosum2,EFO_0004195,LDL cholesterol,LDL cholesterol,3616,Lassosum2,PGP000835,41094136,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS019801/ScoringFiles/PGS019801.txt.gz,data/pgs/scoring_files/PGS019801.txt.gz
PGS001254,GBE_HC177,EFO_0004229,Dupuytren Contracture,Dupuytren's contracture,11,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001254/ScoringFiles/PGS001254.txt.gz,data/pgs/scoring_files/PGS001254.txt.gz
PGS019200,TPMI_427.5_Lassosum2,EFO_0004269,cardiac arrhythmia,Arrhythmia cardiac NOS,11,Lassosum2,PGP000835,41094136,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS019200/ScoringFiles/PGS019200.txt.gz,data/pgs/scoring_files/PGS019200.txt.gz
PGS001244,GBE_BIN_FC30001727,EFO_0004279,suntan,Ease of skin tanning (get mildly or occasionally tanned),958,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001244/ScoringFiles/PGS001244.txt.gz,data/pgs/scoring_files/PGS001244.txt.gz
PGS001806,portability-PLR_187.2,EFO_0004281,testicular neoplasm,Malignant neoplasm of testis,231,Penalized regression (bigstatsr),PGP000263,34995502,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001806/ScoringFiles/PGS001806.txt.gz,data/pgs/scoring_files/PGS001806.txt.gz
PGS001379,GBE_INI22427,EFO_0004302,anthropometric measurement,Body surface area,850,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001379/ScoringFiles/PGS001379.txt.gz,data/pgs/scoring_files/PGS001379.txt.gz
PGS000187,rbc,EFO_0004305,erythrocyte count,Red blood cell count,678,Genome-wide significant variants,PGP000078,32888494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000187/ScoringFiles/PGS000187.txt.gz,data/pgs/scoring_files/PGS000187.txt.gz
PGS000839,2H_Glucose,EFO_0004307,glucose tolerance test,Two hour glucose during OGTT,219,Genome-wide significant variants,PGP000211,34737425,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000839/ScoringFiles/PGS000839.txt.gz,data/pgs/scoring_files/PGS000839.txt.gz
PGS000186,plt,EFO_0004309,platelet count,Platelet count,739,Genome-wide significant variants,PGP000078,32888494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000186/ScoringFiles/PGS000186.txt.gz,data/pgs/scoring_files/PGS000186.txt.gz
PGS005251,iPRS,EFO_0004309|EFO_0004458|EFO_0008447|OBA_VT0000217,platelet count|C-reactive protein measurement|neutrophil-to-lymphocyte ratio|leukocyte quantity,INFLA-Score,1113,PRSice-2,PGP000744,40956996,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS005251/ScoringFiles/PGS005251.txt.gz,data/pgs/scoring_files/PGS005251.txt.gz
PGS002595,lung_FVCzSMOKE.P+T.5e-08,EFO_0004312,vital capacity,Forced vital capacity,1235,Pruning and Thresholding (P+T),PGP000332,35393596,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002595/ScoringFiles/PGS002595.txt.gz,data/pgs/scoring_files/PGS002595.txt.gz
PGS001374,GBE_INI2897,EFO_0004319,smoking cessation,Age stopped smoking,663,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001374/ScoringFiles/PGS001374.txt.gz,data/pgs/scoring_files/PGS001374.txt.gz
PGS019953,PRS10_AD,EFO_0004329,alcohol drinking,Alcohol metabolism,10,Genome wide significant variants,PGP000841,38697272,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS019953/ScoringFiles/PGS019953.txt.gz,data/pgs/scoring_files/PGS019953.txt.gz
PGS001006,GBE_BIN_FC1002306,EFO_0004338|EFO_0009799,body weight|self-reported trait,Weight change compared with 1 year ago,2638,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001006/ScoringFiles/PGS001006.txt.gz,data/pgs/scoring_files/PGS001006.txt.gz
PGS002751,GRSrare,EFO_0004340,body mass index,Body mass index (BMI),14,Genome-wide significant SNPs,PGP000363,35879615,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002751/ScoringFiles/PGS002751.txt.gz,data/pgs/scoring_files/PGS002751.txt.gz
PGS000716,PGS295_elbs,EFO_0004340|EFO_0009819,body mass index|comparative body size at age 10,Early life body size,295,Genome-wide significant variants,PGP000132,32376654,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000716/ScoringFiles/PGS000716.txt.gz,data/pgs/scoring_files/PGS000716.txt.gz
PGS000830,BMI_PGS_F,EFO_0004340|PATO_0000383,body mass index|female,Body mass index (BMI) (female),372,Pruning of FDR filtered SNPs,PGP000210,31048771,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000830/ScoringFiles/PGS000830.txt.gz,data/pgs/scoring_files/PGS000830.txt.gz
PGS000829,BMI_PGS_M,EFO_0004340|PATO_0000384,body mass index|male,Body mass index (BMI) (male),290,Pruning of FDR filtered SNPs,PGP000210,31048771,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000829/ScoringFiles/PGS000829.txt.gz,data/pgs/scoring_files/PGS000829.txt.gz
PGS005316,BFM_PRS,EFO_0004341,body fat distribution,Body fat mass,403,Genome-wide significant SNPs,PGP000766,38632276,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS005316/ScoringFiles/PGS005316.txt.gz,data/pgs/scoring_files/PGS005316.txt.gz
PGS000842,WHR,EFO_0004343,waist-hip ratio,Waist-hip ratio,39,Genome-wide significant variants,PGP000211,34737425,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000842/ScoringFiles/PGS000842.txt.gz,data/pgs/scoring_files/PGS000842.txt.gz
PGS001226,GBE_INI20022,EFO_0004344,birth weight,Birth weight,6278,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001226/ScoringFiles/PGS001226.txt.gz,data/pgs/scoring_files/PGS001226.txt.gz
PGS001513,GBE_INI25027,EFO_0004346,neuroimaging measurement,Median T2star in thalamus (R),114,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001513/ScoringFiles/PGS001513.txt.gz,data/pgs/scoring_files/PGS001513.txt.gz
PGS001542,GBE_INI25013,EFO_0004346|EFO_0004830,neuroimaging measurement|caudate nucleus volume,Volume of caudate (L),1055,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001542/ScoringFiles/PGS001542.txt.gz,data/pgs/scoring_files/PGS001542.txt.gz
PGS001630,GBE_INI25019,EFO_0004346|EFO_0005035,neuroimaging measurement|hippocampal volume,Volume of hippocampus (L),442,snpnet,PGP000244,35324888,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001630/ScoringFiles/PGS001630.txt.gz,data/pgs/scoring_files/PGS001630.txt.gz
