trait_id,trait_label,pgs_id,variants_number
EFO_0000493,family history,PGS001132,1530
EFO_0000768,idiopathic pulmonary fibrosis,PGS012550,13
EFO_0001063|MONDO_0005365,deafness|hearing loss disorder,PGS001252,3731
EFO_0002751|MONDO_0006869,benign|nodular goiter,PGS005261,110
EFO_0003765,sign or symptom,PGS019547,2
EFO_0003907,deep vein thrombosis,PGS001264,839
EFO_0003907|MONDO_0000831,deep vein thrombosis|thrombotic disease,PGS000931,534
EFO_0003907|MONDO_0005279,deep vein thrombosis|pulmonary embolism,PGS001279,94
EFO_0003913,angina pectoris,PGS001262,1852
EFO_0003952,fever of unknown origin,PGS019747,44
EFO_0003959|HP_0000175,cleft lip|Cleft palate,PGS002266,29
EFO_0004195,LDL cholesterol,PGS019801,3616
EFO_0004229,Dupuytren Contracture,PGS001254,11
EFO_0004269,cardiac arrhythmia,PGS019200,11
EFO_0004279,suntan,PGS001244,958
EFO_0004281,testicular neoplasm,PGS001806,231
EFO_0004302,anthropometric measurement,PGS001379,850
EFO_0004305,erythrocyte count,PGS000187,678
EFO_0004307,glucose tolerance test,PGS000839,219
EFO_0004309,platelet count,PGS000186,739
EFO_0004309|EFO_0004458|EFO_0008447|OBA_VT0000217,platelet count|C-reactive protein measurement|neutrophil-to-lymphocyte ratio|leukocyte quantity,PGS005251,1113
EFO_0004312,vital capacity,PGS002595,1235
EFO_0004319,smoking cessation,PGS001374,663
EFO_0004329,alcohol drinking,PGS019953,10
EFO_0004338|EFO_0009799,body weight|self-reported trait,PGS001006,2638
EFO_0004340,body mass index,PGS002751,14
EFO_0004340|EFO_0009819,body mass index|comparative body size at age 10,PGS000716,295
EFO_0004340|PATO_0000383,body mass index|female,PGS000830,372
EFO_0004340|PATO_0000384,body mass index|male,PGS000829,290
EFO_0004341,body fat distribution,PGS005316,403
EFO_0004343,waist-hip ratio,PGS000842,39
EFO_0004344,birth weight,PGS001226,6278
EFO_0004346,neuroimaging measurement,PGS001513,114
EFO_0004346|EFO_0004830,neuroimaging measurement|caudate nucleus volume,PGS001542,1055
EFO_0004346|EFO_0005035,neuroimaging measurement|hippocampal volume,PGS001630,442
EFO_0004346|EFO_0005420,neuroimaging measurement|grey matter volume measurement,PGS001546,115
EFO_0004346|EFO_0005420|EFO_0008320,neuroimaging measurement|grey matter volume measurement|white matter volume measurement,PGS001540,1871
EFO_0004346|EFO_0005665,neuroimaging measurement|white matter hyperintensity measurement,PGS001534,355
EFO_0004346|EFO_0006516,neuroimaging measurement|superior frontal gyrus grey matter volume measurement,PGS001598,5
EFO_0004346|EFO_0006935,neuroimaging measurement|thalamus volume,PGS001637,1328
EFO_0004346|EFO_0008320,neuroimaging measurement|white matter volume measurement,PGS001641,1005
EFO_0004346|OBA_2050009,neuroimaging measurement|brain volume,PGS001766,1
EFO_0004346|OBA_2050016,neuroimaging measurement|putamen volume,PGS001635,747
EFO_0004346|OBA_2050020,neuroimaging measurement|nucleus accumbens volume,PGS001538,643
EFO_0004346|OBA_2050021|OBA_2050047,neuroimaging measurement|brain stem volume|fourth ventricle volume,PGS001539,1183
